epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,186.308,0.95267,3.80356,0.01186,0.62261,0.56946,0.61064,0.43858,0.99241,1.33946,0.01731,0.00999034,0.00333011,0.00999034,0.00333011,0.00999034,0.00333011,0.00999034,0.00333011
2,327.773,1.07833,2.33451,0.01419,0.65122,0.55358,0.61471,0.4173,1.12567,1.37133,0.02031,0.0197924,0.00659748,0.0197924,0.00659748,0.0197924,0.00659748,0.0197924,0.00659748
3,452.439,1.21735,2.03456,0.01644,0.53612,0.46812,0.48327,0.29581,1.33355,1.70552,0.02631,0.0293965,0.00979884,0.0293965,0.00979884,0.0293965,0.00979884,0.0293965,0.00979884
4,571.038,1.32529,2.08573,0.01834,0.57235,0.51378,0.52281,0.32438,1.33416,1.60601,0.02603,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,689.886,1.31358,1.96958,0.01799,0.6027,0.50275,0.5403,0.34089,1.34984,1.56796,0.02649,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,808.377,1.28227,1.87136,0.01751,0.63019,0.56536,0.60521,0.39593,1.25586,1.39275,0.0238,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,927.05,1.27572,1.79798,0.01706,0.65459,0.55717,0.61107,0.39941,1.26359,1.38847,0.02375,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1045.51,1.25392,1.75648,0.01692,0.65965,0.59805,0.64404,0.43054,1.21579,1.3128,0.02246,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1164.1,1.24047,1.7015,0.01667,0.70016,0.60795,0.66902,0.45021,1.21045,1.26291,0.02261,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1282.6,1.22896,1.67719,0.01644,0.68794,0.61109,0.68052,0.46065,1.18959,1.19839,0.02185,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1401.35,1.21714,1.63164,0.01614,0.70043,0.61415,0.68065,0.46851,1.15936,1.19847,0.02115,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1519.99,1.20867,1.60618,0.01594,0.70654,0.64851,0.70531,0.49045,1.13773,1.13078,0.02068,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1638.7,1.19351,1.57815,0.01571,0.72193,0.64846,0.71662,0.4982,1.14069,1.13817,0.02064,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1757.07,1.1908,1.55913,0.01566,0.71975,0.65481,0.7214,0.50542,1.11511,1.1046,0.02003,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1875.68,1.18657,1.54786,0.0155,0.73437,0.66875,0.73249,0.51406,1.12248,1.06966,0.02022,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1994.44,1.17696,1.52209,0.01532,0.75878,0.66109,0.7424,0.52666,1.11234,1.04194,0.01984,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2112.99,1.17069,1.49369,0.01523,0.76375,0.66754,0.74638,0.52968,1.09232,1.03758,0.01946,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2231.55,1.16165,1.48643,0.01496,0.73832,0.68782,0.75457,0.54124,1.08322,1.01574,0.01923,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2350.09,1.15258,1.46453,0.01494,0.76885,0.68657,0.7661,0.54738,1.07152,1.00529,0.0188,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2468.69,1.14842,1.46309,0.01493,0.76834,0.68631,0.76254,0.55151,1.05269,1.01437,0.01852,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2587.19,1.14569,1.42936,0.0148,0.7683,0.69748,0.77081,0.55581,1.0556,0.98472,0.01857,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2705.64,1.13802,1.42925,0.01472,0.77349,0.69846,0.776,0.56429,1.05282,0.97068,0.01855,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2824.17,1.13538,1.40231,0.01453,0.78917,0.702,0.78081,0.56798,1.04243,0.96645,0.01826,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2942.81,1.12586,1.40109,0.01458,0.79427,0.69878,0.7852,0.57458,1.02541,0.93641,0.0177,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3061.42,1.125,1.39917,0.01451,0.78979,0.70267,0.79129,0.58154,1.0211,0.93541,0.01767,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,3179.82,1.11837,1.38389,0.01438,0.77462,0.71538,0.79053,0.58395,1.01888,0.9287,0.01763,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,3298.34,1.11039,1.36402,0.01435,0.79432,0.71137,0.79398,0.5886,1.00455,0.91617,0.01728,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,3417.04,1.10895,1.34926,0.01418,0.78536,0.72247,0.80087,0.59553,1.00161,0.90806,0.01724,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,3535.48,1.10602,1.34055,0.01423,0.80662,0.71688,0.80393,0.60163,0.99028,0.89447,0.01699,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
